language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=4.29 s (1832.2 files/s, 275093.4 lines/s)"
PO File,./documentation/src/main/docbook/manual/ko-KR/content/transactions.po,130,131,1518
XML,./documentation/src/main/docbook/manual/en-US/content/collection_mapping.xml,359,10,1512
Java,./hibernate-core/src/test/java/org/hibernate/test/readonly/ReadOnlyProxyTest.java,166,47,1507
Java,./hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,247,222,1473
PO File,./documentation/src/main/docbook/manual/fr-FR/content/query_sql.po,202,433,1460
Java,./hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/AbstractEntityManagerImpl.java,166,113,1455
PO File,./documentation/src/main/docbook/manual/es-ES/content/query_sql.po,188,406,1452
PO File,./documentation/src/main/docbook/manual/pt-BR/content/query_sql.po,188,500,1442
XML,./documentation/src/main/docbook/devguide/en-US/chapters/query_ql/HQL_JPQL.xml,58,0,1385
Java,./hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,236,153,1384
XML,./documentation/src/main/docbook/manual/en-US/content/performance.xml,332,1,1354
Java,./hibernate-core/src/test/java/org/hibernate/test/immutable/ImmutableTest.java,205,34,1352
Java,./hibernate-core/src/main/java/org/hibernate/internal/util/collections/BoundedConcurrentHashMap.java,270,848,1346
XSD,./hibernate-core/src/main/resources/org/hibernate/jpa/orm_2_0.xsd,19,70,1345
XML,./documentation/src/main/docbook/manual/en-US/content/configuration.xml,386,8,1341
PO File,./documentation/src/main/docbook/manual/ko-KR/content/tutorial.po,176,486,1338
Java,./hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,119,109,1303
XML,./documentation/src/main/docbook/manual/en-US/content/tutorial.xml,293,10,1294
PO File,./documentation/src/main/docbook/manual/ko-KR/content/session_api.po,155,161,1287
Java,./hibernate-core/src/test/java/org/hibernate/test/readonly/ReadOnlySessionLazyNonLazyTest.java,55,57,1280
PO File,./documentation/src/main/docbook/manual/de-DE/content/query_hql.po,262,1160,1250
Java,./hibernate-core/src/main/java/org/hibernate/internal/CoreMessageLogger.java,365,37,1222
Java,./hibernate-core/src/test/java/org/hibernate/test/hql/HQLTest.java,201,137,1204
XSD,./hibernate-core/src/main/resources/org/hibernate/jpa/orm_1_0.xsd,268,87,1185
PO File,./documentation/src/main/docbook/manual/ja-JP/content/query_hql.po,262,889,1175
PO File,./documentation/src/main/docbook/manual/zh-CN/content/persistent_classes.po,83,292,1168
PO File,./documentation/src/main/docbook/manual/fr-FR/content/query_hql.po,158,166,1147
Java,./hibernate-core/src/test/java/org/hibernate/test/readonly/ReadOnlyCriteriaQueryTest.java,144,28,1133
Java,./hibernate-core/src/test/java/org/hibernate/test/hql/BulkManipulationTest.java,305,69,1119
PO File,./documentation/src/main/docbook/manual/pt-BR/content/query_hql.po,157,262,1117
PO File,./documentation/src/main/docbook/manual/es-ES/content/query_hql.po,157,168,1114
Java,./hibernate-core/src/test/java/org/hibernate/test/legacy/ParentChildTest.java,112,39,1103
Java,./hibernate-core/src/test/java/org/hibernate/test/readonly/ReadOnlySessionTest.java,70,32,1102
PO File,./documentation/src/main/docbook/manual/de-DE/content/persistent_classes.po,82,560,1089
PO File,./documentation/src/main/docbook/manual/ko-KR/content/query_hql.po,161,172,1085
XML,./documentation/src/main/docbook/devguide/en-US/chapters/services/Services.xml,43,0,1064
PO File,./documentation/src/main/docbook/manual/ja-JP/content/persistent_classes.po,83,298,1056
Java,./hibernate-entitymanager/src/main/java/org/hibernate/jpa/criteria/CriteriaBuilderImpl.java,219,97,1050
PO File,./documentation/src/main/docbook/manual/de-DE/content/type.po,191,385,1037
PO File,./documentation/src/main/docbook/manual/es-ES/content/type.po,191,385,1037
PO File,./documentation/src/main/docbook/manual/fr-FR/content/type.po,191,385,1037
PO File,./documentation/src/main/docbook/manual/ja-JP/content/type.po,191,385,1037
PO File,./documentation/src/main/docbook/manual/pt-BR/content/type.po,191,385,1037
PO File,./documentation/src/main/docbook/manual/zh-CN/content/type.po,191,385,1037
Java,./hibernate-entitymanager/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java,170,123,1015
Java,./hibernate-core/src/main/java/org/hibernate/internal/util/collections/ConcurrentReferenceHashMap.java,202,679,1008
Java,./hibernate-core/src/test/java/org/hibernate/test/immutable/entitywithmutablecollection/AbstractEntityWithOneToManyTest.java,167,27,1008
Java,./hibernate-core/src/test/java/org/hibernate/test/legacy/MasterDetailTest.java,107,30,991
XML,./documentation/src/main/docbook/manual/en-US/content/query_hql.xml,254,8,987
Java,./hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,253,1444,987
XML,./documentation/src/main/docbook/manual/en-US/content/transactions.xml,146,0,982
XML,./documentation/src/main/docbook/manual/en-US/content/type.xml,40,0,982
XML,./documentation/src/main/docbook/manual/en-US/content/session_api.xml,224,0,980
Java,./hibernate-core/src/test/java/org/hibernate/test/hql/HqlParserTest.java,76,66,974
Java,./hibernate-core/src/main/java/org/hibernate/hql/internal/ast/HqlSqlWalker.java,147,175,951
PO File,./documentation/src/main/docbook/manual/ko-KR/content/collection_mapping.po,125,130,940
Java,./hibernate-core/src/main/java/org/hibernate/hql/internal/classic/QueryTranslatorImpl.java,175,135,935
PO File,./documentation/src/main/docbook/manual/fr-FR/content/persistent_classes.po,82,233,921
Java,./hibernate-core/src/test/java/org/hibernate/test/immutable/entitywithmutablecollection/AbstractEntityWithManyToManyTest.java,158,52,918
PO File,./documentation/src/main/docbook/manual/es-ES/content/persistent_classes.po,82,238,914
PO File,./documentation/src/main/docbook/manual/pt-BR/content/persistent_classes.po,82,332,909
XML,./documentation/src/main/docbook/devguide/en-US/chapters/query_native/Native_SQL.xml,221,0,900
