module,revisions,code
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/timestamp/TimestampsRegionImplTestCase.java,8,105
hibernate-core/src/main/antlr/hql.g,8,673
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/FetchOwner.java,8,30
hibernate-core/src/main/java/org/hibernate/cfg/annotations/PropertyBinder.java,8,288
hibernate-core/src/main/java/org/hibernate/loader/internal/ResultSetProcessingContextImpl.java,8,612
hibernate-core/src/main/java/org/hibernate/engine/transaction/internal/TransactionCoordinatorImpl.java,8,266
hibernate-core/src/test/java/org/hibernate/test/annotations/embeddables/EmbeddableIntegratorTest.java,8,77
hibernate-core/src/main/java/org/hibernate/metamodel/relational/Table.java,8,199
hibernate-core/src/main/java/org/hibernate/hql/spi/PersistentTableBulkIdStrategy.java,8,260
hibernate-osgi/src/main/java/org/hibernate/osgi/HibernateBundleActivator.java,8,46
hibernate-core/src/test/java/org/hibernate/dialect/resolver/DialectFactoryTest.java,8,185
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/AbstractFetchOwner.java,8,93
hibernate-envers/src/test/java/org/hibernate/envers/test/BaseEnversJPAFunctionalTestCase.java,8,223
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaLoader.java,8,224
hibernate-core/src/main/java/org/hibernate/dialect/MySQLDialect.java,8,354
hibernate-core/src/main/java/org/hibernate/boot/registry/selector/internal/StrategySelectorBuilder.java,8,284
hibernate-core/src/main/java/org/hibernate/loader/plan/internal/LoadPlanBuildingHelper.java,8,48
hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,8,19
hibernate-core/src/main/java/org/hibernate/Session.java,8,105
hibernate-core/src/test/java/org/hibernate/sharedSession/SessionWithSharedConnectionTest.java,8,202
hibernate-core/src/main/java/org/hibernate/engine/jdbc/connections/internal/DriverManagerConnectionProviderImpl.java,8,204
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/HqlSqlWalker.java,8,951
hibernate-core/src/main/java/org/hibernate/internal/AbstractQueryImpl.java,8,783
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/schemagen/JpaSchemaGenerator.java,8,582
hibernate-core/src/main/java/org/hibernate/mapping/UniqueKey.java,8,43
hibernate-core/src/main/java/org/hibernate/persister/walking/spi/MetadataDrivenModelGraphVisitor.java,8,160
hibernate-core/src/main/java/org/hibernate/persister/collection/OneToManyPersister.java,7,413
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/ClobTypeDescriptor.java,7,126
hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureCallImpl.java,7,403
hibernate-entitymanager/src/main/java/org/hibernate/jpa/AvailableSettings.java,7,76
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/BaseQueryImpl.java,7,647
hibernate-core/src/main/java/org/hibernate/dialect/SQLServerDialect.java,7,132
hibernate-core/src/main/java/org/hibernate/loader/internal/ResultSetProcessorImpl.java,7,150
hibernate-core/src/main/java/org/hibernate/loader/hql/QueryLoader.java,7,430
hibernate-core/src/main/java/org/hibernate/cache/spi/CacheKey.java,7,62
hibernate-core/src/main/java/org/hibernate/type/EntityType.java,7,409
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/MaximalizePropertyQuery.java,7,149
hibernate-core/src/main/java/org/hibernate/engine/internal/TwoPhaseLoad.java,7,259
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/EntityManagerImpl.java,7,173
hibernate-core/src/test/java/org/hibernate/test/hqlfetchscroll/HQLScrollFetchTest.java,7,318
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/QueryImpl.java,7,384
hibernate-core/src/main/java/org/hibernate/cfg/Settings.java,7,360
hibernate-core/src/test/java/org/hibernate/loader/plan/spi/LoadPlanBuilderTest.java,7,102
hibernate-core/src/test/java/org/hibernate/test/sql/storedproc/StoredProcedureTest.java,7,257
hibernate-core/src/main/java/org/hibernate/dialect/Oracle9Dialect.java,7,307
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeIndexGraph.java,7,73
hibernate-core/src/main/java/org/hibernate/loader/internal/EntityLoadQueryBuilderImpl.java,7,171
shared/config/checkstyle/checkstyle.xml,7,94
hibernate-core/src/main/java/org/hibernate/engine/spi/ActionQueue.java,7,590
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/QueryTranslatorImpl.java,7,423
hibernate-core/src/main/java/org/hibernate/LockOptions.java,7,110
hibernate-core/src/main/java/org/hibernate/engine/internal/Cascade.java,7,295
hibernate-core/src/main/java/org/hibernate/loader/JoinWalker.java,7,796
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/build/AbstractLoadPlanBuilderStrategy.java,7,697
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeElementGraph.java,7,73
hibernate-core/src/main/java/org/hibernate/annotations/NaturalId.java,7,11
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/InfinispanRegionFactoryTestCase.java,7,506
hibernate-core/src/main/java/org/hibernate/cfg/Mappings.java,7,160
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityIndexGraph.java,7,81
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/timestamp/TimestampsRegionImpl.java,7,54
hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,7,250
hibernate-core/src/test/java/org/hibernate/test/hql/ASTParserLoadingTest.java,7,2559
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityElementGraph.java,7,85
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiSessionFactoryService.java,6,57
hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,6,111
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASE157Dialect.java,6,73
hibernate-core/src/main/java/org/hibernate/QueryException.java,6,43
hibernate-core/src/test/java/org/hibernate/dialect/SQLServer2005DialectTestCase.java,6,158
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/NodeEnvironment.java,6,106
documentation/documentation.gradle,6,86
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/tm/JBossStandaloneJtaExampleTest.java,6,209
documentation/src/main/docbook/manual/en-US/content/configuration.xml,6,1341
documentation/src/main/docbook/manual/en-US/content/collection_mapping.xml,6,1512
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseTransactionalDataRegion.java,6,19
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcCoordinatorImpl.java,6,434
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/entity/EntityRegionImpl.java,6,31
hibernate-core/src/main/java/org/hibernate/dialect/Oracle9iDialect.java,6,96
documentation/src/main/docbook/manual/en-US/content/tutorial.xml,6,1294
hibernate-core/src/main/java/org/hibernate/type/CollectionType.java,6,479
hibernate-core/src/main/java/org/hibernate/event/internal/EventCache.java,6,181
hibernate-core/src/main/java/org/hibernate/hql/spi/TableBasedDeleteHandlerImpl.java,6,136
documentation/src/main/docbook/devguide/en-US/chapters/services/Services.xml,6,1064
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,6,547
hibernate-core/src/main/java/org/hibernate/loader/custom/CustomLoader.java,6,561
hibernate-core/src/main/java/org/hibernate/persister/entity/JoinedSubclassEntityPersister.java,6,620
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/AggregatedAuditExpression.java,6,65
hibernate-core/src/main/java/org/hibernate/engine/internal/EntityEntryContext.java,6,300
hibernate-core/src/main/java/org/hibernate/dialect/pagination/SQLServer2005LimitHandler.java,6,179
hibernate-testing/hibernate-testing.gradle,6,16
hibernate-envers/src/test/java/org/hibernate/envers/test/performance/AbstractEntityManagerTest.java,6,101
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseRegion.java,6,166
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/naturalid/NaturalIdRegionImpl.java,6,32
hibernate-testing/src/main/java/org/hibernate/testing/junit4/CustomRunner.java,6,265
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,6,422
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ResultSetWrapperProxy.java,6,105
hibernate-core/src/main/java/org/hibernate/cache/internal/RegionFactoryInitiator.java,6,70
hibernate-core/src/test/java/org/hibernate/event/internal/EventCacheTest.java,6,332
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityReference.java,6,10
hibernate-core/src/main/java/org/hibernate/engine/query/spi/QueryPlanCache.java,6,282
hibernate-core/src/main/java/org/hibernate/loader/plan/internal/SingleRootReturnLoadPlanBuilderStrategy.java,6,95
hibernate-core/src/main/java/org/hibernate/SharedSessionContract.java,6,19
documentation/src/main/docbook/devguide/en-US/Database_Access.xml,6,630
hibernate-core/src/main/java/org/hibernate/cache/internal/StandardQueryCache.java,6,253
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractFlushingEventListener.java,6,230
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/Fetch.java,6,18
hibernate-c3p0/hibernate-c3p0.gradle,6,20
hibernate-core/src/main/java/org/hibernate/bytecode/internal/javassist/FieldTransformer.java,6,581
hibernate-core/src/main/java/org/hibernate/engine/internal/ForeignKeys.java,6,222
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/entity/ReadOnlyAccess.java,6,20
hibernate-core/src/main/java/org/hibernate/NaturalIdLoadAccess.java,6,8
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractSaveEventListener.java,6,324
hibernate-core/src/test/java/org/hibernate/loader/SimpleResultSetProcessorTest.java,6,122
hibernate-core/src/main/java/org/hibernate/hql/spi/TemporaryTableBulkIdStrategy.java,6,200
hibernate-core/src/main/java/org/hibernate/dialect/H2Dialect.java,6,307
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/ConcurrentWriteTest.java,6,395
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultFlushEntityEventListener.java,6,488
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/collection/CollectionRegionImpl.java,6,28
hibernate-core/src/main/java/org/hibernate/criterion/Order.java,6,85
hibernate-core/src/main/java/org/hibernate/mapping/Property.java,6,233
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ClobProxy.java,6,126
documentation/src/main/docbook/manual/en-US/content/basic_mapping.xml,6,4878
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/management/impl/ProviderMBeanRegistrationHelper.java,6,128
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/CacheCommandFactory.java,6,45
hibernate-envers/src/main/java/org/hibernate/envers/strategy/DefaultAuditStrategy.java,6,93
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/SimpleQuery.java,6,290
hibernate-core/src/main/java/org/hibernate/proxy/AbstractLazyInitializer.java,6,275
hibernate-core/src/main/java/org/hibernate/cfg/BinderHelper.java,6,588
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiClassLoader.java,6,134
README.md,6,46
hibernate-core/src/main/java/org/hibernate/metamodel/relational/UniqueKey.java,6,31
documentation/src/main/docbook/manual/en-US/content/events.xml,5,182
hibernate-core/src/main/java/org/hibernate/engine/jdbc/batch/internal/AbstractBatchImpl.java,5,127
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/tm/HibernateTransactionManagerLookup.java,5,15
CONTRIBUTING.md,5,39
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/entity/AbstractEntityRegionAccessStrategyTestCase.java,5,443
hibernate-core/src/main/java/org/hibernate/loader/internal/AbstractLoadQueryImpl.java,5,235
hibernate-core/src/main/java/org/hibernate/IdentifierLoadAccess.java,5,7
hibernate-core/src/main/java/org/hibernate/Query.java,5,104
hibernate-core/src/main/antlr/hql-sql.g,5,559
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/entity/EntityRegionImplTestCase.java,5,48
documentation/src/main/docbook/quickstart/tutorials/osgi/managed-jpa/features.xml,5,47
hibernate-proxool/hibernate-proxool.gradle,5,16
hibernate-core/src/main/java/org/hibernate/cache/spi/UpdateTimestampsCache.java,5,98
hibernate-core/src/main/java/org/hibernate/engine/loading/internal/CollectionLoadContext.java,5,231
hibernate-core/src/test/java/org/hibernate/test/multitenancy/ConfigurationValidationTest.java,5,48
