entity,n-authors,n-revs
hibernate-core/src/main/java/org/hibernate/dialect/Oracle9Dialect.java,4,7
hibernate-core/src/matrix/java/org/hibernate/test/naturalid/mutable/cached/CachedMutableNaturalIdTest.java,4,7
hibernate-core/src/test/java/org/hibernate/test/hqlfetchscroll/HQLScrollFetchTest.java,4,7
hibernate-core/src/test/java/org/hibernate/test/hql/ASTParserLoadingTest.java,4,7
hibernate-core/src/main/java/org/hibernate/engine/internal/TwoPhaseLoad.java,4,7
hibernate-entitymanager/src/main/java/org/hibernate/ejb/EntityManagerImpl.java,4,7
documentation/src/main/docbook/manual/en-US/content/tutorial.xml,4,6
hibernate-core/src/main/java/org/hibernate/criterion/Order.java,4,6
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,4,6
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/ConcurrentWriteTest.java,4,6
documentation/src/main/docbook/manual/en-US/content/collection_mapping.xml,4,6
hibernate-core/src/main/java/org/hibernate/cfg/BinderHelper.java,4,6
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/tm/JBossStandaloneJtaExampleTest.java,4,6
hibernate-testing/hibernate-testing.gradle,4,6
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ResultSetWrapperProxy.java,4,6
hibernate-core/src/main/java/org/hibernate/proxy/AbstractLazyInitializer.java,4,6
documentation/src/main/docbook/manual/en-US/content/basic_mapping.xml,4,6
hibernate-core/src/matrix/java/org/hibernate/test/jpa/naturalid/ImmutableNaturalIdTest.java,4,6
hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,4,6
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/entity/ReadOnlyAccess.java,4,6
hibernate-core/src/main/java/org/hibernate/persister/entity/JoinedSubclassEntityPersister.java,4,6
hibernate-core/src/main/java/org/hibernate/metamodel/relational/UniqueKey.java,4,6
hibernate-c3p0/hibernate-c3p0.gradle,4,6
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ClobProxy.java,4,6
hibernate-core/src/main/java/org/hibernate/bytecode/internal/javassist/FieldTransformer.java,4,6
hibernate-core/src/main/java/org/hibernate/tuple/entity/AbstractEntityTuplizer.java,4,5
hibernate-core/src/main/antlr/hql-sql.g,4,5
hibernate-core/src/main/java/org/hibernate/engine/loading/internal/CollectionLoadContext.java,4,5
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/ClobTypeDescriptor.java,4,5
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/DetachedMultipleCollectionChangeTest.java,4,5
hibernate-core/src/main/java/org/hibernate/engine/jdbc/batch/internal/AbstractBatchImpl.java,4,5
documentation/src/main/docbook/manual/en-US/content/query_hql.xml,4,5
hibernate-envers/src/main/java/org/hibernate/envers/query/AuditQueryCreator.java,4,5
hibernate-core/src/test/java/org/hibernate/test/transaction/jta/ManagedDrivingTest.java,4,5
hibernate-core/src/main/java/org/hibernate/id/IncrementGenerator.java,4,5
hibernate-core/src/main/java/org/hibernate/persister/collection/BasicCollectionPersister.java,4,5
hibernate-core/src/main/java/org/hibernate/dialect/DerbyDialect.java,4,5
hibernate-core/src/matrix/java/org/hibernate/test/naturalid/mutable/MutableNaturalIdTest.java,4,5
hibernate-core/src/test/java/org/hibernate/test/legacy/FooBarTest.java,4,5
hibernate-core/src/main/java/org/hibernate/dialect/lock/PessimisticWriteUpdateLockingStrategy.java,4,4
hibernate-core/src/main/java/org/hibernate/dialect/Cache71Dialect.java,4,4
hibernate-core/src/main/java/org/hibernate/dialect/lock/PessimisticReadUpdateLockingStrategy.java,4,4
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/ComponentJoin.java,4,4
hibernate-core/src/matrix/java/org/hibernate/test/criteria/CriteriaQueryTest.java,4,4
hibernate-core/src/main/java/org/hibernate/dialect/InformixDialect.java,4,4
hibernate-core/src/main/antlr/sql-gen.g,4,4
hibernate-entitymanager/hibernate-entitymanager.gradle,3,19
hibernate-entitymanager/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java,3,19
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/AbstractEntityManagerImpl.java,3,17
hibernate-core/src/main/java/org/hibernate/internal/AbstractSessionImpl.java,3,14
hibernate-entitymanager/src/matrix/java/org/hibernate/ejb/test/lock/LockTest.java,3,14
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionFactoryImplementor.java,3,11
hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java,3,11
hibernate-entitymanager/src/main/java/org/hibernate/jpa/HibernatePersistenceProvider.java,3,10
hibernate-core/src/main/java/org/hibernate/internal/util/StringHelper.java,3,10
hibernate-core/src/main/java/org/hibernate/cfg/annotations/SimpleValueBinder.java,3,10
hibernate-core/src/main/java/org/hibernate/dialect/SybaseDialect.java,3,10
hibernate-core/src/main/java/org/hibernate/dialect/CUBRIDDialect.java,3,9
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/BlobTypeDescriptor.java,3,9
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TransactionalAccessDelegate.java,3,9
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcServicesImpl.java,3,9
hibernate-core/src/main/java/org/hibernate/cfg/SettingsFactory.java,3,9
hibernate-core/src/main/java/org/hibernate/metamodel/relational/Table.java,3,8
hibernate-core/src/main/java/org/hibernate/cfg/annotations/PropertyBinder.java,3,8
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/HqlSqlWalker.java,3,8
hibernate-core/src/main/java/org/hibernate/hql/spi/PersistentTableBulkIdStrategy.java,3,8
hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,3,8
hibernate-core/src/matrix/java/org/hibernate/test/annotations/naturalid/NaturalIdTest.java,3,8
hibernate-core/src/main/java/org/hibernate/loader/hql/QueryLoader.java,3,7
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/timestamp/TimestampsRegionImpl.java,3,7
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/MaximalizePropertyQuery.java,3,7
hibernate-core/src/main/java/org/hibernate/annotations/NaturalId.java,3,7
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/QueryImpl.java,3,7
hibernate-core/src/main/java/org/hibernate/type/descriptor/sql/ClobTypeDescriptor.java,3,7
hibernate-core/src/matrix/java/org/hibernate/test/annotations/naturalid/NaturalIdOnSingleManyToOneTest.java,3,7
hibernate-core/src/test/java/org/hibernate/loader/plan/spi/LoadPlanBuilderTest.java,3,7
hibernate-core/src/matrix/java/org/hibernate/test/inheritancediscriminator/PersistChildEntitiesWithDiscriminatorTest.java,3,7
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/InfinispanRegionFactoryTestCase.java,3,7
hibernate-core/src/main/java/org/hibernate/cfg/Settings.java,3,7
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/util/CacheCommandFactory.java,3,6
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/SimpleQuery.java,3,6
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASE157Dialect.java,3,6
hibernate-core/src/main/java/org/hibernate/engine/internal/ForeignKeys.java,3,6
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcCoordinatorImpl.java,3,6
hibernate-envers/src/main/java/org/hibernate/envers/entities/mapper/relation/AbstractToOneMapper.java,3,6
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/naturalid/NaturalIdRegionImpl.java,3,6
README.md,3,6
hibernate-envers/src/matrix/java/org/hibernate/envers/test/integration/jta/JtaExceptionListener.java,3,6
