entity,author,author-revs,total-revs
databases/mysql51/resources/hibernate.properties,Steve Ebersole,1,1
databases/postgresql82/matrix.gradle,Steve Ebersole,1,1
databases/postgresql82/resources/hibernate.properties,Steve Ebersole,1,1
databases/postgresql83/matrix.gradle,Steve Ebersole,1,1
databases/postgresql83/resources/hibernate.properties,Steve Ebersole,1,1
databases/postgresql84/matrix.gradle,Steve Ebersole,1,2
databases/postgresql84/matrix.gradle,Strong Liu,1,2
databases/postgresql84/resources/hibernate.properties,Steve Ebersole,1,4
databases/postgresql84/resources/hibernate.properties,Strong Liu,3,4
documentation/documentation.gradle,Strong Liu,3,6
documentation/documentation.gradle,Steve Ebersole,3,6
documentation/src/main/docbook/devguide/en-US/Author_Group.xml,Brett Meyer,1,2
documentation/src/main/docbook/devguide/en-US/Author_Group.xml,Steve Ebersole,1,2
documentation/src/main/docbook/devguide/en-US/Batch_Processing.xml,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/Book_Info.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Caching.xml,Strong Liu,2,3
documentation/src/main/docbook/devguide/en-US/Caching.xml,Steve Ebersole,1,3
documentation/src/main/docbook/devguide/en-US/Criteria.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Data_Categorizations.xml,Strong Liu,1,2
documentation/src/main/docbook/devguide/en-US/Data_Categorizations.xml,Steve Ebersole,1,2
documentation/src/main/docbook/devguide/en-US/Database_Access.xml,Brett Meyer,1,6
documentation/src/main/docbook/devguide/en-US/Database_Access.xml,Steve Ebersole,4,6
documentation/src/main/docbook/devguide/en-US/Database_Access.xml,Strong Liu,1,6
documentation/src/main/docbook/devguide/en-US/Envers.xml,Lukasz Antoniak,10,13
documentation/src/main/docbook/devguide/en-US/Envers.xml,Kristoffer Lundberg,1,13
documentation/src/main/docbook/devguide/en-US/Envers.xml,Steve Ebersole,1,13
documentation/src/main/docbook/devguide/en-US/Envers.xml,Adam Warski,1,13
documentation/src/main/docbook/devguide/en-US/HQL_JPAQL.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Hibernate_Development_Guide.xml,Brett Meyer,1,12
documentation/src/main/docbook/devguide/en-US/Hibernate_Development_Guide.xml,Steve Ebersole,11,12
documentation/src/main/docbook/devguide/en-US/JMX.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Locking.xml,Aleksander Blomskøld,1,3
documentation/src/main/docbook/devguide/en-US/Locking.xml,brmeyer,1,3
documentation/src/main/docbook/devguide/en-US/Locking.xml,Steve Ebersole,1,3
documentation/src/main/docbook/devguide/en-US/Mapping_Association.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Mapping_Entities.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Preface.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Revision_History.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Services.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/Transactions.xml,Steve Ebersole,3,3
documentation/src/main/docbook/devguide/en-US/appendices/legacy_criteria/Legacy_Criteria.xml,Lukasz Antoniak,1,3
documentation/src/main/docbook/devguide/en-US/appendices/legacy_criteria/Legacy_Criteria.xml,Steve Ebersole,2,3
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,Strong Liu,2,6
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,Lukasz Antoniak,1,6
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,Steve Ebersole,2,6
documentation/src/main/docbook/devguide/en-US/appendix-Configuration_Properties.xml,Gail Badner,1,6
documentation/src/main/docbook/devguide/en-US/appendix-Troubleshooting.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/Criteria.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/CriteriaBuilder_query_creation_snippet.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_fetch_example_embedded_and_many2one.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_fetch_example_plural.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_join_example_embedded_and_many2one.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_join_example_plural.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_root_example.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_root_example_multiple.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/from_root_methods.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/parameter_example.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/select_attribute_example.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/select_multiple_values_array.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/select_multiple_values_array2.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/select_root_entity_example.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/select_tuple.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/criteria/extras/select_wrapper.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/events/Events.xml,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,Kamyar Sajjadi,1,3
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,Strong Liu,1,3
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/AuditInterceptor.java,Steve Ebersole,1,3
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/JpaCallbacksExample.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/LoadListenerExample.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/SessionFactoryScopedExample.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/SessionScopedExample.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/events/extras/jacc-event-reg-example.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/Fetching.xml,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/Department.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/Employee.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/FetchOverrides.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/Login.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/LoginScalar.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/Project.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/ProjectsForAnEmployeeCriteria.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/ProjectsForAnEmployeeFetchProfile.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/fetching/extras/ProjectsForAnEmployeeHql.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/hql/HQL_JPQL.xml,Steve Ebersole,4,4
